URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/62227396,950 KM,Manuelni,1990,200.0,333.333km,1.1,Zastava,Zastava 128,Benzin
https://olx.ba/artikal/62204473,950 KM,Manuelni,2000,40.0,333.333km,1.0,Opel,Corsa,Benzin
https://olx.ba/artikal/61478194,900 KM,Manuelni,2002,62.0,230.000km,1.3,Hyundai,Accent,Benzin
https://olx.ba/artikal/62229580,750 KM,Manuelni,2000,0.0,0km,1.4,Renault,Clio,Benzin
https://olx.ba/artikal/62201533,950 KM,Manuelni,2001,59.0,250.000km,1.9,Fiat,Punto,Dizel
https://olx.ba/artikal/62200852,950 KM,Manuelni,2001,44.0,200.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/60434818,950 KM,Manuelni,2002,81.0,305.000km,1.9,Alfa Romeo,Alfa 156,Dizel
https://olx.ba/artikal/62147772,680 KM,Manuelni,1994,40.0,238.686km,1.4,Volkswagen,Polo,Dizel
https://olx.ba/artikal/62172438,900 KM,Manuelni,2001,55.0,370.000km,1.4,Citroen,Xsara,Plin
https://olx.ba/artikal/62250689,850 KM,Manuelni,1996,66.0,213.486km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62139566,850 KM,Manuelni,1999,44.0,329.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/62207308,1 KM,Manuelni,2004,88.0,260.000km,1.9,Renault,Megane,Dizel
https://olx.ba/artikal/62236563,750 KM,Manuelni,1986,33.0,234.567km,1.1,Renault,R 5,Benzin
https://olx.ba/artikal/62235683,1.000 KM,Manuelni,1994,40.0,240.000km,1.4,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62076081,700 KM,Manuelni,2006,72.0,250.000km,2.0,Ford,Focus,Benzin
https://olx.ba/artikal/62234821,111 KM,Manuelni,2009,77.0,19.999km,1.9,Seat,Ibiza,Dizel
https://olx.ba/artikal/62075220,1.000 KM,Manuelni,1993,44.0,92.204km,1.3,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62075197,1.000 KM,Automatik,2002,116.0,260.000km,2.2,Peugeot,607,Plin
https://olx.ba/artikal/62075093,1.000 KM,Manuelni,1998,74.0,330.000km,1.6,Seat,Toledo,Plin
https://olx.ba/artikal/62074435,950 KM,Manuelni,1989,0.0,220.000km,1.6,Fiat,126,Benzin
https://olx.ba/artikal/62073392,500 KM,Manuelni,2000,37.0,36.520km,1.2,Fiat,Seicento,Benzin
https://olx.ba/artikal/62069566,700 KM,Manuelni,1986,40.0,550.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62218458,1.000 KM,Manuelni,2000,60.0,100.000km,1.4,Mercedes-Benz,A 140,Benzin
https://olx.ba/artikal/62053212,"3,75 KM",Automatik,2021,105.0,4.300.232km,2.2,Mercedes-Benz,E 220,Dizel
https://olx.ba/artikal/62053120,1 KM,Automatik,2016,190.0,150.000km,3.0,Mercedes-Benz,E 350,Dizel
https://olx.ba/artikal/59617205,11 KM,Manuelni,2008,103.0,29.400km,2.0,Audi,A4,Dizel
https://olx.ba/artikal/62214213,"10,50 KM",Manuelni,2010,77.0,240.000km,1.2,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62047667,11 KM,Manuelni,2007,85.0,300km,1.9,Audi,A4,Dizel
https://olx.ba/artikal/62046973,1.000 KM,Manuelni,1999,0.0,0km,1.6,Renault,Clio,Benzin
https://olx.ba/artikal/62037574,1.000 KM,Manuelni,2003,85.0,450.000km,2.0,Ford,Mondeo,Dizel
https://olx.ba/artikal/62204068,800 KM,Manuelni,2002,55.0,302.540km,1.1,Fiat,Punto,Benzin
https://olx.ba/artikal/55332707,1.000 KM,Manuelni,2000,44.0,194.770km,1.6,Fiat,Punto,Plin
https://olx.ba/artikal/62201096,800 KM,Manuelni,1990,40.0,25.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/62031030,"32,30 KM",Automatik,2018,85.0,250.000km,1.6,Volkswagen,Touran,Dizel
https://olx.ba/artikal/62015859,1 KM,Manuelni,2001,55.0,1km,1.4,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62180384,100 KM,Manuelni,2002,96.0,0km,1.9,Volkswagen,Passat,Dizel
https://olx.ba/artikal/61109636,"11,90 KM",Manuelni,2007,85.0,292.000km,1.9,Audi,A4,Dizel
https://olx.ba/artikal/57258009,900 KM,Manuelni,1987,63.0,300.000km,1.5,Honda,Civic,Benzin
https://olx.ba/artikal/62176991,750 KM,Manuelni,2002,70.0,250.000km,1.6,Rover,45,Plin
https://olx.ba/artikal/61896741,1.000 KM,Manuelni,2000,55.0,25.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/62001176,1.000 KM,Manuelni,2001,88.0,260.000km,1.9,Renault,Laguna,Dizel
https://olx.ba/artikal/61998889,500 KM,Manuelni,1981,44.0,300.000km,1.2,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62172050,950 KM,Manuelni,1982,45.0,175.000km,1.1,Zastava,Zastava 128,Benzin
https://olx.ba/artikal/61817952,900 KM,Manuelni,1996,35.0,250.528km,1.3,Ford,Fiesta,Benzin
https://olx.ba/artikal/62167913,800 KM,Manuelni,2001,37.0,89.000km,1.3,Škoda,Felicia,Benzin
https://olx.ba/artikal/59138131,950 KM,Manuelni,2000,55.0,180.000km,1.5,Daewoo,Lanos,Benzin
https://olx.ba/artikal/61986554,700 KM,Manuelni,1999,35.0,210.000km,1.1,Fiat,Punto,Benzin
https://olx.ba/artikal/62157381,123 KM,Manuelni,2003,89.0,317.000km,2.0,Mazda,6,Dizel
https://olx.ba/artikal/56713020,1.000 KM,Manuelni,1988,44.0,2.900.000km,1.6,Opel,Ascona,Dizel
https://olx.ba/artikal/62151510,850 KM,Manuelni,1995,44.0,100.000km,1.4,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62149462,1.000 KM,Manuelni,1990,40.0,550.000km,1.6,Volkswagen,Golf,Dizel
https://olx.ba/artikal/61993748,776 KM,Manuelni,1989,144.0,220.000km,1.8,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61963409,900 KM,Manuelni,1986,40.0,200.000km,1.3,Volkswagen,Golf,Benzin
https://olx.ba/artikal/55258887,950 KM,Manuelni,1996,65.0,200.000km,1.6,Peugeot,306,Benzin
https://olx.ba/artikal/62128770,1.000 KM,Manuelni,1999,44.0,250.999km,1.4,Volkswagen,Polo,Benzin
https://olx.ba/artikal/62123262,650 KM,Manuelni,2000,47.0,180.000km,1.3,Kia,Pride,Benzin
https://olx.ba/artikal/61945259,255 KM,Manuelni,2003,20.0,33.333km,2.0,Ford,Mondeo,Dizel
https://olx.ba/artikal/50491519,800 KM,Manuelni,1989,37.0,70.000km,0.9,Wartburg,353,Benzin
https://olx.ba/artikal/60376980,800 KM,Manuelni,1999,37.0,250.000km,1.1,Peugeot,106,Benzin
https://olx.ba/artikal/61947712,950 KM,Manuelni,1993,66.0,300.000km,1.8,Volkswagen,Passat,Plin
https://olx.ba/artikal/51307594,750 KM,Manuelni,1995,40.0,300.000km,1.4,Volkswagen,Golf,Benzin
https://olx.ba/artikal/61993563,400 KM,Manuelni,1998,55.0,228.444km,1.4,Volkswagen,Polo,Benzin
https://olx.ba/artikal/62106307,850 KM,Manuelni,2001,55.0,300.000km,1.9,Fiat,Punto,Dizel
https://olx.ba/artikal/58192982,800 KM,Manuelni,1987,40.0,323.000km,1.6,Volkswagen,Passat,Dizel
