URL,Price,Transmission,Year,Motor Strength (KW),Mileage,Engine Capacity,Manufacturer,Model,Fuel Type
https://olx.ba/artikal/61899115,1.950 KM,Manuelni,2001,44,200.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/62283007,1.450 KM,Automatik,2001,116,312.000km,2.2,Peugeot,607,Benzin
https://olx.ba/artikal/60503295,1.850 KM,Manuelni,1997,45,200.000km,1.2,Opel,Corsa,Benzin
https://olx.ba/artikal/62100159,1.650 KM,Manuelni,1998,47,290.000km,1.9,Volkswagen,Golf,Dizel
https://olx.ba/artikal/51469509,1.250 KM,Manuelni,2001,110,202.000km,2.0,Alfa Romeo,Alfa 156,Benzin
https://olx.ba/artikal/62261803,1.800 KM,Manuelni,2003,84,207.000km,1.6,Renault,Megane,Benzin
https://olx.ba/artikal/61744798,1.200 KM,Manuelni,2002,55,311.229km,1.4,Peugeot,206,Benzin
https://olx.ba/artikal/61976514,1.490 KM,Manuelni,2002,48,200.000km,1.5,Renault,Clio,Dizel
https://olx.ba/artikal/57405479,2990 KM,Manuelni,1998,40,211.391km,1.1,Fiat,Punto,Benzin
https://olx.ba/artikal/62291112,1.450 KM,Manuelni,2002,79,276.604km,1.6,Renault,Megane,Benzin
https://olx.ba/artikal/61614133,1.700 KM,Manuelni,2002,88,270.000km,1.9,Renault,Drugi,Dizel
https://olx.ba/artikal/62111894,2.000 KM,Manuelni,2001,43,185km,1.0,Opel,Corsa,Benzin
https://olx.ba/artikal/62286604,1.250 KM,Manuelni,1998,74,123.456km,1.6,Seat,Cordoba,Plin
https://olx.ba/artikal/62284639,1.199 KM,Manuelni,1987,66,140.000km,1.8,Audi,80,Benzin
https://olx.ba/artikal/62171201,1.200 KM,Manuelni,2005,85,300.000km,1.8,Nissan,Primera,Benzin
https://olx.ba/artikal/61770647,1.200 KM,Manuelni,1999,44,300.000km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/61892610,1.650 KM,Manuelni,1997,40,242.900km,1.3,Volkswagen,Polo,Benzin
https://olx.ba/artikal/62283836,1.200 KM,Manuelni,2000,44,199.010km,1.4,Seat,Ibiza,Benzin
https://olx.ba/artikal/62170200,1.999 KM,Manuelni,1999,79,190.000km,1.6,Renault,Megane,Benzin
https://olx.ba/artikal/62167126,1.450 KM,Manuelni,2000,81,213.000km,1.8,Peugeot,406,Benzin
https://olx.ba/artikal/62178439,1.500 KM,Manuelni,2002,85,380.999km,1.9,Alfa Romeo,Alfa 156,Dizel
https://olx.ba/artikal/62279889,1.400 KM,Manuelni,2000,110,358.000km,2.5,Audi,A6,Dizel
https://olx.ba/artikal/61843935,1.100 KM,Manuelni,2000,55,147.000km,1.6,Škoda,Felicia,Benzin
https://olx.ba/artikal/62271657,1.850 KM,Manuelni,2000,44,88.800km,1.2,Fiat,Punto,Benzin
https://olx.ba/artikal/60399552,1.700 KM,Manuelni,1986,40,1km,1.3,Volkswagen,Golf,Benzin
https://olx.ba/artikal/62278365,1.600 KM,Manuelni,2003,44,116.500km,1.3,Ford,Ka / Ka+,Benzin
https://olx.ba/artikal/60219879,1.250 KM,Manuelni,1988,44,124.000km,1.1,Renault,R 5,Benzin
https://olx.ba/artikal/62277300,1.100 KM,Manuelni,1997,47,300.000km,1.8,Ford,Courier,Dizel
https://olx.ba/artikal/60627642,1.500 KM,Manuelni,2004,50,290.486km,1.4,Peugeot,206,Dizel
https://olx.ba/artikal/62270506,2.000 KM,Manuelni,2004,66,338.512km,2.0,Citroen,Xsara Picasso,Dizel
https://olx.ba/artikal/62105860,1.700 KM,Manuelni,2001,2,200.000km,1.8,Opel,Astra,Benzin
https://olx.ba/artikal/62259609,1.500 KM,Manuelni,1995,37,300.000km,1.5,Opel,Corsa,Dizel
https://olx.ba/artikal/59993588,1.390 KM,Manuelni,2001,59,276.580km,2.0,Fiat,Ulysse,Dizel
https://olx.ba/artikal/61482312,1.950 KM,Manuelni,2002,103,243.048km,2.4,Lancia,Lybra,Dizel
https://olx.ba/artikal/61866891,1.500 KM,Manuelni,2005,55,4.000.000km,1.4,Dacia,Logan,Plin
